"ABB","TEAM","STATURL"
"UAB","UAB","UAB/uab-blazers"
"AUBRN","AUBURN","AUBURN/auburn-tigers"
"RICE","RICE","RICE/rice-owls"
"CAL","CAL","CAL/california-golden-bears"
"TEX","TEXAS","TEXAS/texas-longhorns"
"WASH","Washington","WASH/washington-huskies"
"KTCKY","Kentucky","UK/kentucky-wildcats"
"BAYLR","Baylor","BAYLOR/baylor-bears"
"TENN","Tennessee","TENN/tennessee-volunteers"
"GTECH","Georgia Tech","GATECH/georgia-tech-yellow-jackets"
"ORGN","Oregon","OREG/oregon-ducks"
"ORGST","Oregon State","OREGST/oregon-state-beavers"
"MCHST","Michigan State","MICHST/michigan-state-spartans"
"CLRDO","Colorado","COLO/colorado-buffaloes"
"IG","Iona","IONA/iona-gaels"
"OKLA","Oklahoma","OKLA/oklahoma-sooners"
"MEMPH","Memphis","MEMP/memphis-tigers"
"DUKE","Duke","DUKE/duke-blue-devils"
"GTOWN","Georgetown","GTOWN/georgetown-hoyas"
"MRLND","Maryland","MD/maryland-terrapins"
"NEB","Nebraska","NEB/nebraska-cornhuskers"
"VLLNV","Villanova","NOVA/villanova-wildcats"
"XAV","Xavier","XAVIER/xavier-musketeers"
"MISSR","Missouri","MIZZOU/missouri-tigers"
"DPAUL","Depaul","DEPAUL/depaul-blue-demons"
"PENST","Penn St","PSU/penn-state-nittany-lions"
"KANS","Kansas","KANSAS/kansas-jayhawks"
"PROV","Providence","PROV/providence-friars"
"ILLIN","Illinois","ILL/illinois-fighting-illini"
"CIN","Cincinnati","CINCY/cincinnati-bearcats"
"BGF","Bowling Green","BGREEN/bowling-green-falcons"
"UNC","North Carolina","UNC/north-carolina-tar-heels"
"WT","Wofford","WOFF/wofford-terriers"
"NCSTA","NC State","NCST/nc-state-wolfpack"
"IJ","IUPUI","IUPUI/iupui-jaguars"
"UCF","UCF","UCF/ucf-knights"
"UA","UC Irvine","UCIRV/uc-irvine-anteaters"
"WAKE","Wake Forest","WAKE/wake-forest-demon-deacons"
"RS","Richmond","RICH/richmond-spiders"
"ARK","Arkansas","ARK/arkansas-razorbacks"
"AZ","Akron","AKRON/akron-zips"
"IOWST","Iowa State","IOWAST/iowa-state-cyclones"
"IOWA","Iowa","IOWA/iowa-hawkeyes"
"TTRO","Troy","TROY/troy-trojans"
"STNHL","Seaton Hall","SETON/seton-hall-pirates"
"WSHST","Washington State","WASHST/washington-state-cougars"
"IV","Idaho","IDAHO/idaho-vandals"
"UTAH","Utah","UTAH/utah-utes"
"WCHST","Wichita State","WICHST/wichita-state-shockers"
"UCONN","Uconn","UCONN/connecticut-huskies"
"MRQTT","Marquette","MARQET/marquette-golden-eagles"
"WISCN","Wisconsin","WISC/wisconsin-badgers"
"BUTLR","Butler","BUTLER/butler-bulldogs"
"SMG","Saint Mary's","MARYCA/st-marys-gaels"
"OHSTA","OSU","OHIOST/ohio-state-buckeyes"
"ARZST","Arizona State","ARIZST/arizona-state-sun-devils"
"BYU","BYU","BYU/brigham-young-cougars"
"TEXAM","Texas A&M","TEXAM/texas-am-aggies"
"KANST","Kansas State","KSTATE/kansas-state-wildcats"
"FLORI","Florida","FLA/florida-gators"
"BSB","Boise State","BOISE/boise-state-broncos"
"GONZ","Gonzaga","GONZAG/gonzaga-bulldogs"
"UCLA","UCLA","UCLA/ucla-bruins"
"MINN","Minnesota","MINN/minnesota-golden-gophers"
"OKST","Oklahoma State","OKLAST/oklahoma-state-cowboys"
"LSU","LSU","LSU/lsu-tigers"
"HOU","Houston","HOU/houston-cougars"
"SYRCS","Syracuse","CUSE/syracuse-orange"
"SJOHN","Staint John's","STJOHN/st-johns-red-storm"
"RIR","Rhode Island","RI/rhode-island-rams"
"SOFLA","South Florida","SFLA/south-florida-bulls"
"TEMPL","Temple","TEMPLE/temple-owls"
"SJH","Saint Joseph's","STJOES/saint-josephs-hawks"
"ALBMA","Alabama","BAMA/alabama-crimson-tide"
"CLEMS","Clemson","CLEM/clemson-tigers"
"UTEP","UTEP","UTEP/texas-el-paso-miners"
"ARZNA","Arizona","ARIZ/arizona-wildcats"
